DQ266001	Lobaria amplissima 
DQ266025	Sticta hypochra 
DQ266027	Sticta gaudichaldia 
EF102333	Peltigera malacea 
EU877474	Collema nigrescens
KC437681	Peltigera malacea 
KC437686	Peltigera malacea 
KC437689	Peltigera malacea 
KC437691	Peltigera malacea 
KC437846	Peltigera malacea 
KC437881	Peltigera malacea 
KC437883	Peltigera malacea 
KC437885	Nephroma arcticum 
KC437896	Peltigera malacea 
KC437901	Peltigera malacea 
KC437905	Peltigera malacea 
KC437906	Peltigera malacea 
KC437916	Peltigera malacea 
KC437917	Peltigera malacea 
