Genus	T. arboricola	T. asymmetrica	T. corticola	T. decolorans	T gelatinosa	T. gigantea	T. impressa	T. incrustata	T. jamesii	T. showmanii	T. sp 1	T. sp 2	T. sp 3	T. sp 4	T. sp 5
Letharia 									306						
Ramalina 	4		5	115			1	1				24			
Parmotrema 			135						1		1		1		
Xanthoria 	35		14	74	1		3							6	
Umbilicaria 				19		4	1		105					1	1
Lecanora 	11	7		14		4	13	9	22	2	5	9		2	
Lecidea 		1		13			11	1	22		24	1		9	
Cetraria 									76						
Tephromela 	11		8	21					3			31			
Boreoplaca 							6		5			60			
Caloplaca 	36			17		5								3	4
Physconia 							40								
Protoparmeliopsis 	1	23	1				2	11							
Physcia 				1	5		29						1		
Lecidella 		2		17			2		2					11	1
Rhizoplaca 				19	1		2							7	
Lasallia 									28						
Thamnolia 							3		22			3			
Buellia 		2	1	13		1								3	
Evernia 									19						
Flavocetraria 									17						
Carbonea 				4					4		3			1	
Hypogymnia 									12						
Austrolecia 				7					1					3	
Parmelia 					2		4				1	3			
Pseudevernia 									10						
Anaptychia 			1	6								1			
Chaenotheca 				1					7						
Phaeophyscia 							7								
Flavoparmelia 					4		2								
Usnea 			1				4		1						
Candelaria 	1			2			2								
fungal 									2		3				
Rinodina 			1			1	2	1							
Xanthoparmelia 		1						3		1					
Huea 				4											
Imshaugia 									3						
Punctelia 					1		1							1	
Acarospora 							1							1	
Diploschistes 		2													
Fulgensia 		2													
Lepraria 				1					1						
Parmelina 							2								
Pleurosticta 				2											
Polysporina 				2											
Rimularia 	1								1						
Schaereria 				1					1						
Teloschistes 					2										
Amandinea 												1			
Aspicilia 		1													
Dimelaena 							1								
Everniastrum 									1						
Melanelia 							1								
microbial 	1														
Rinodinella 						1									
Sarcogyne 														1	
Seirophora 				1											
Toninia 		1													
Tuckermannopsis 									1						
unidentified 														1	
Xanthomendoza 					1										
