EU282432	Siberian permafrost	Nostoc sp.	195-A22	 	Vishnivetskaya	"(in) Margesin,R. (Ed.); PERMAFROST SOILS: 73-84; Springer-Verlag Berlin Heidelberg (2009)"	 
EU818947	Acantholichen pannarioides	Scytonema sp.	Sipman_48329	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818948	Coccocarpia filiformis	Scytonema sp.	R16	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818949	Coccocarpia palmicola	Scytonema sp.	R03	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818950	Coccocarpia palmicola	Scytonema sp.	R13	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818951	Coccocarpia stellata	Scytonema sp.	R17	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818952	Dictyonema aeruginosulum 	Scytonema sp.	Nelsen_3754	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818953	Dictyonema glabratum	Scytonema sp.	17538	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818954	Dictyonema glabratum	Scytonema sp.	R06	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818955	Dictyonema glabratum	Scytonema sp.	R11	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818956	Dictyonema glabratum	Scytonema sp.	R18	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818957	Dictyonema glabratum	Scytonema sp.	R19	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818958	Dictyonema glabratum	Scytonema sp.	R20	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818959	Dictyonema glabratum	Scytonema sp.	Leucking_16563	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818960	Dictyonema hernandezii 	Scytonema sp.	R14	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818961	Dictyonema interruptum	Scytonema sp.	Ertz_10475	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818962	Dictyonema phyllogenum	Scytonema sp.	Leucking_15207a	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818963	Dictyonema schenckianum	Scytonema sp.	R01	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818964	Dictyonema schenckianum	Scytonema sp.	R02	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818965	Dictyonema schenckianum	Scytonema sp.	R07	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818966	Dictyonema sericeum	Scytonema sp.	Leucking_16561	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
EU818967	free-living	Scytonema sp.	R09	 	Lucking	"Am. J. Bot. 96 (8), 1409-1418 (2009)"	21628288
Z82776	free-living	Nostoc sp.	NIVA-CYA 124	 	Rudi	"Appl. Environ. Microbiol. 63 (7), 2593-2599 (1997)"	9212409
Z82784	free-living	Microcystis aeruginosa 	"NIVA-CYA 43, ATCC 22663"	 	Rudi	"Appl. Environ. Microbiol. 63 (7), 2593-2599 (1997)"	9212409
Z82803	free-living	Nostoc sp.	strainCYA 246/PCC 7120	 	Rudi	"Appl. Environ. Microbiol. 63 (7), 2593-2599 (1997)"	9212409
Z82804	free-living	Nostoc sp.	NIVA-CYA 308	 	Rudi	"Appl. Environ. Microbiol. 63 (7), 2593-2599 (1997)"	9212409
Z82805	free-living	Nostoc sp.	NIVA-CYA 194	 	Rudi	"Appl. Environ. Microbiol. 63 (7), 2593-2599 (1997)"	9212409
AF092504	free-living	Cylindrospermopsis raciborskii 	AWT205	 	Beltran	"Appl. Environ. Microbiol. 66 (10), 4468-4474 (2000)"	11010900
AF247591	free-living	Anabaena affinis 	NIES-40	 	Beltran	"Appl. Environ. Microbiol. 66 (10), 4468-4474 (2000)"	11010900
AF247594	free-living	Anabaena solitaria 	NIES-80	 	Beltran	"Appl. Environ. Microbiol. 66 (10), 4468-4474 (2000)"	11010900
AY566855	Pannaria pezizoides	Nostoc sp.	IO-102-I	 	Oksanen	"Appl. Environ. Microbiol. 70 (10), 5756-5763 (2004)"	15466511
