D10997	 	Chlorella vulgaris	C-27	 			Yoshinaga	"Plant Mol. Biol. 10, 245-250 (1988)"	 
JF502546	Solorinae croceae	Coccomyxa solorinae-croceae	SAG 216-11a	Switzerland		45.95103 / 7.208891	Del Campo	Unpublished	 
JF502544	Peltigera leucophlebia	Coccomyxa peltigerae-variolosae	SAG 216-6	Norway		59.92199 / 10.749664	Del Campo	Unpublished	 
JF502550	Botrydina vulgaris	Coccomyxa subellipsoidea	SAG 216-13	Austria		47.26898 / 11.39534	Del Campo	Unpublished	 
JF502549	Multiclavula vernalis	Coccomyxa sp.	SAG 49.84	Germany		48.050316 / 9.649901	Del Campo	Unpublished	 
JF502548	Botrydina vulgaris	Coccomyxa pringsheimii 	SAG 216-7	Finland			Del Campo	Unpublished	 
JF502547	Solorina saccata	Coccomyxa solorinae-saccatae	SAG 216-12	Switzerland		45.95103 / 7.208891	Del Campo	Unpublished	 
JF502545	Solorina bispora	Coccomyxa solorinae-bisporae	SAG 216-10	Switzerland		45.95103 / 7.208891	Del Campo	Unpublished	 
JF502543	Peltigera aphthosa	Coccomyxa peltigerae	SAG 216-5	Switzerland			Del Campo	Unpublished	 
FJ217384	Unknown	Coccomyxa rayssiae	UTEX 273	Romania			Letsch	Unpublished	 
HQ693844	free-living	Coccomyxa subellipsoidea 	C-169	 			Smith	"PLoS One 6 (8), e23624 (2011)"	21887287
FJ217383	 	Choricystis chodatii	 	 			Letsch	"J. Phycol. 45, 1127-1135 (2009)"	 
JF930329	Unknown	Coccomyxa rayssiae	UTEX 273	Romania			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
HQ335209	 	Coccomyxa sp.	 	 			Zhang	Unpublished	 
HQ335208	 	Coccomyxa sp.	 	 			Zhang	Unpublished	 
HQ287507	Schizoxylon albescens	Coccomyxa sp.	MW8238b	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287506	Schizoxylon albescens	Coccomyxa sp.	MW8238a	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287505	Schizoxylon albescens	Coccomyxa sp.	MW8233p	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287504	Schizoxylon albescens	Coccomyxa sp.	MW8233n	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287503	Schizoxylon albescens	Coccomyxa sp.	MW8233m	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287502	Schizoxylon albescens	Coccomyxa sp.	MW8233l	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287501	Schizoxylon albescens	Coccomyxa sp.	MW8233i	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287500	Schizoxylon albescens	Coccomyxa sp.	MW8233f	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287486	Schizoxylon albescens	Coccomyxa sp.	PL3-3-3b	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287485	Schizoxylon albescens	Coccomyxa sp.	PL3-3-3a	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287484	Schizoxylon albescens	Coccomyxa sp.	PL3-2-3b	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287483	Schizoxylon albescens	Coccomyxa sp.	PL3-2-3a	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287482	Schizoxylon albescens	Coccomyxa sp.	PL3-1-3b	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287481	Schizoxylon albescens	Coccomyxa sp.	PL3-1-3a	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287480	Schizoxylon albescens	Coccomyxa sp.	PL2-3	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287479	Schizoxylon albescens	Coccomyxa sp.	PL2-3	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287478	Schizoxylon albescens	Coccomyxa sp.	PL2-1	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287477	Schizoxylon albescens	Coccomyxa sp.	PL1-3	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287476	Schizoxylon albescens	Coccomyxa sp.	PL1-2	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287475	Schizoxylon albescens	Coccomyxa sp.	PL1-1	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287499	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287498	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287497	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287496	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287495	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287494	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287493	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287492	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287491	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287490	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287489	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287488	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287487	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287474	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287473	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287472	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287471	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287470	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287469	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287468	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287467	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287466	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287465	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287464	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287463	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287462	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287461	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
XM_005650976	 	Coccomyxa subellipsoidea 	C-169	 			Blanc	"Genome Biol. 13 (5), R39 (2012)"	22630137
XM_005646567	 	Coccomyxa subellipsoidea 	C-169	 			Blanc	"Genome Biol. 13 (5), R39 (2012)"	22630137
JF930328	 	Choricystis chodatii	UTEX 266	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
