Genus, Family, Total, T. arboricola, T. asymmetrica, T. corticola, T. decolorans, T. gelatinosa, T. gigantea, T. higginsiae, T. impressa, T. incrustata, T. jamesii, T. jamesii 2, T. letharii, T. muralis I, T. showmanii, T. usneae, T. sp. clade I, T. sp. clade II, T. sp. clade III, T. sp. clade IV, T. sp. clade V, T. sp. TR1, T. sp. TR9, T. sp. URa1, T. sp. URa3
Acarospora, Acarosporaceae, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Amandinea, Caliciaceae, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Anaptychia, Physciaceae, 21, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Aspicilia, Megasporaceae, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Austrolecia, Catillariaceae, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Boreoplaca, None, 68, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0
Bryoria, Parmeliaceae, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 5, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0
Buellia, Caliciaceae, 7, 0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Caloplaca, Teloschistaceae, 44, 36, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Candelaria, Candelariaceae, 5, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Carbonea, Lecanoraceae, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
Cetraria, Parmeliaceae, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Chaenotheca, Coniocybaceae, 8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Cladonia, Cladoniaceae, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dimelaena, Caliciaceae, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Diploschistes, Graphidaceae, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Evernia, Parmeliaceae, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Everniastrum, Parmeliaceae, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Flavocetraria, Parmeliaceae, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Flavoparmelia, Parmeliaceae, 6, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
Fulgensia, Teloschistaceae, 10, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Gyalolechia, Teloschistaceae, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Huea, Teloschistaceae, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Hypogymnia, Parmeliaceae, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Imshaugia, Parmeliaceae, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Lasallia, Umbilicariaceae, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Lecanora, Lecanoraceae, 125, 13, 4, 0, 2, 0, 4, 0, 15, 20, 20, 5, 0, 25, 2, 0, 0, 0, 0, 0, 2, 11, 0, 0, 2
Lecidea, Lecideaceae, 61, 0, 1, 0, 0, 0, 0, 0, 11, 1, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 24
Lecidella, Lecanoraceae, 7, 0, 1, 0, 1, 0, 0, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Lepraria, Stereocaulaceae, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Letharia, Parmeliaceae, 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Melanelia, Parmeliaceae, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Melanohalea, Parmeliaceae, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Parmelia, Parmeliaceae, 6, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0
Parmelina, Parmeliaceae, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Parmotrema, Parmeliaceae, 145, 0, 0, 131, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0
Peltigera, Peltigeraceae, 6, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Phaeophyscia, Physciaceae, 7, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Physcia, Physciaceae, 32, 0, 0, 0, 1, 5, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
Physconia, Physciaceae, 38, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Pleurosticta, Parmeliaceae, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Polysporina, Acarosporaceae, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Protoparmeliopsis, Lecanoraceae, 19, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Pseudevernia, Parmeliaceae, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Psora, Psoraceae, 36, 0, 8, 0, 0, 0, 4, 0, 4, 0, 7, 2, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Punctelia, Parmeliaceae, 3, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
Ramalina, Ramalinaceae, 161, 0, 0, 3, 47, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 8, 0, 59, 39, 0, 0
Rhizoplaca, Lecanoraceae, 3, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Rimularia, None, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Rinodina, Physciaceae, 3, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Rinodinella, Physciaceae, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Sarcogyne, Acarosporaceae, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Schaereria, None, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Seirophora, Teloschistaceae, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Squamarina, Stereocaulaceae, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Stereocaulon, Stereocaulaceae, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Teloschistes, Teloschistaceae, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Tephromela, Tephromelataceae, 211, 55, 0, 0, 5, 0, 0, 0, 3, 1, 29, 0, 0, 0, 0, 0, 5, 2, 3, 6, 6, 93, 2, 0, 1
Thamnolia, Icmadophilaceae, 29, 0, 0, 0, 0, 0, 0, 0, 3, 0, 20, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0
Toninia, Ramalinaceae, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Tuckermannopsis, Parmeliaceae, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Umbilicaria, Umbilicariaceae, 107, 0, 0, 0, 0, 0, 0, 0, 1, 0, 20, 85, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Usnea, Parmeliaceae, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0
