AY257896	 	Peltigera boreorufescens	 	"British Columbia, alaska highway: toad river."	WNA	Miadlikowska	"Mycologia 95 (6), 1181-1203 (2003)"	21149020
AY257950	 	Peltigera evansiana	 	"British Columbia, fraser river drainage: slim creek"	WNA	Miadlikowska	"Mycologia 95 (6), 1181-1203 (2003)"	21149020
AY257951	 	Peltigera evansiana	 	Canada	NA	Miadlikowska	"Mycologia 95 (6), 1181-1203 (2003)"	21149020
AY257952	 	Peltigera canina	 	Canada	NA	Miadlikowska	"Mycologia 95 (6), 1181-1203 (2003)"	21149020
AY257953	 	Peltigera canina	 	Poland	Europe	Miadlikowska	"Mycologia 95 (6), 1181-1203 (2003)"	21149020
FJ527269	 	Peltigera koponenii	 	Papua New Guinea	Oceania	Serusiaux	"Fungal Divers. 38, 185-224 (2009)"	 
FJ527270	 	Peltigera koponenii	 	Papua New Guinea	Oceania	Serusiaux	"Fungal Divers. 38, 185-224 (2009)"	 
FJ527271	 	Peltigera koponenii	 	Papua New Guinea	Oceania	Serusiaux	"Fungal Divers. 38, 185-224 (2009)"	 
FJ708873	 	Peltigera canina	HOB020708-31-5-1	"British Columbia, Spahats Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708874	 	Peltigera canina	HOB020708-31-5-2	"British Columbia, Spahats Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708875	 	Peltigera canina	HOB020708-70-1-3	"British Columbia, Spahats Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708876	 	Peltigera canina	HOB020708-70-5-2	"British Columbia, Spahats Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708877	 	Peltigera canina	HOB020708-0-1-1	"British Columbia, Spahats Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708878	 	Peltigera canina	HOB020708-0-1-2	"British Columbia, Spahats Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708879	 	Peltigera canina	HOB020708-0-1-3	"British Columbia, Spahats Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708880	 	Peltigera canina	HOB020708-39-5-2	"British Columbia, Spahats Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708881	 	Peltigera canina	HOB030611-0-0-6	"British Columbia, Battle Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708882	 	Peltigera canina	HOB030611-0-0-7	"British Columbia, Battle Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708883	 	Peltigera canina	HOB030611-0-10-4	"British Columbia, Battle Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708884	 	Peltigera canina	HOB030611-10-0-3	"British Columbia, Battle Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708885	 	Peltigera canina	HOB030611-10-0-5	"British Columbia, Battle Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708886	 	Peltigera canina	HOB030611-10-0-6	"British Columbia, Battle Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708887	 	Peltigera canina	HOB030611-10-10-4	"British Columbia, Battle Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708888	 	Peltigera canina	HOB030611-10-5-2	"British Columbia, Battle Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
