AY257900	NA	Peltigera cinnamomea	 	"British Columbia, liard river hotsprings "	WNA	Miadlikowska	"Mycologia 95 (6), 1181-1203 (2003)"	21149020
AY257914	NA	Peltigera latopraetextata	 	"British Columbia, marble canyon prov. Park"	WNA	Miadlikowska	"Mycologia 95 (6), 1181-1203 (2003)"	21149020
AY257943	NA	Peltigera praetextata	 	Poland	Europe	Miadlikowska	"Mycologia 95 (6), 1181-1203 (2003)"	21149020
AY257944	NA	Peltigera praetextata	 	Poland	Europe	Miadlikowska	"Mycologia 95 (6), 1181-1203 (2003)"	21149020
AY257945	NA	Peltigera praetextata	 	France	Europe	Miadlikowska	"Mycologia 95 (6), 1181-1203 (2003)"	21149020
AY257947	NA	Peltigera praetextata	 	Canada		Miadlikowska	"Mycologia 95 (6), 1181-1203 (2003)"	21149020
FJ708904	NA	Peltigera praetextata	HOB020708-31-9-2	"British Columbia, Spahats Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708905	NA	Peltigera praetextata	HOB030611-0-0-5	"British Columbia, Battle Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
FJ708906	NA	Peltigera praetextata	HOB030611-0-5-8	"British Columbia, Battle Creek"	WNA	O'Brien	"Evolution 63 (8), 2076-2086 (2009)"	19453383
GQ292454	NA	Peltigera praetextata	 	Korea	Asia	Wei	Unpublished	 
GQ292463	NA	Peltigera praetextata	 	Korea	Asia	Wei	Unpublished	 
HM448797	NA	Peltigera praetextata	 	Finland	Europe	Fedrowitz	"Bryologist 114 (1), 220-230 (2011)"	 
JX195304	NA	Peltigera praetextata	 	"Japan, Hokkaido"	Asia	Kaasalainen	"New Phytol. 198 (3), 647-651 (2013)"	23461682
JX195305	NA	Peltigera praetextata	 	"China, Hunan"	Asia	Kaasalainen	"New Phytol. 198 (3), 647-651 (2013)"	23461682
JX195306	NA	Peltigera praetextata	 	"Finland, Mikkeli"	Europe	Kaasalainen	"New Phytol. 198 (3), 647-651 (2013)"	23461682
JX195307	NA	Peltigera praetextata	 	"Finland, Mikkeli"	Europe	Kaasalainen	"New Phytol. 198 (3), 647-651 (2013)"	23461682
JX195308	NA	Peltigera praetextata	 	"Finland, Mikkeli"	Europe	Kaasalainen	"New Phytol. 198 (3), 647-651 (2013)"	23461682
JX195309	NA	Peltigera praetextata	 	"Finland, Saarijärvi"	Europe	Kaasalainen	"New Phytol. 198 (3), 647-651 (2013)"	23461682
JX195310	NA	Peltigera praetextata	 	"Finland, Saarijärvi"	Europe	Kaasalainen	"New Phytol. 198 (3), 647-651 (2013)"	23461682
JX195311	NA	Peltigera praetextata	 	"Finland, Saarijärvi"	Europe	Kaasalainen	"New Phytol. 198 (3), 647-651 (2013)"	23461682
JX195312	NA	Peltigera praetextata	 	"Finland, Kuhmo"	Europe	Kaasalainen	"New Phytol. 198 (3), 647-651 (2013)"	23461682
JX195313	NA	Peltigera praetextata	 	"Norway, Vestfold"	Europe	Kaasalainen	"New Phytol. 198 (3), 647-651 (2013)"	23461682
JX195314	NA	Peltigera praetextata	 	"Norway, Vestfold"	Europe	Kaasalainen	"New Phytol. 198 (3), 647-651 (2013)"	23461682
JX195315	NA	Peltigera praetextata	 	"Scotland, Braemar"	Europe	Kaasalainen	"New Phytol. 198 (3), 647-651 (2013)"	23461682
JX195316	NA	Peltigera praetextata	 	"Scotland, East Perthshire"	Europe	Kaasalainen	"New Phytol. 198 (3), 647-651 (2013)"	23461682
