Accession	Host	Species	Location	Author	Reference	Pubmed	Gene	Date
AJ632030	free-living	Nostoc sp.		Rajaniemi	Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)	15653847	rbcX	130819
AJ632063	free-living	Nostoc calcicola		Rajaniemi	Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)	15653847	rbcX	130819
AJ632064	free-living	Nostoc calcicola		Rajaniemi	Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)	15653847	rbcX	130819
AJ632065	free-living	Nostoc edaphicum		Rajaniemi	Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)	15653847	rbcX	130819
AJ632066	free-living	Nostoc ellipsosporum		Rajaniemi	Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)	15653847	rbcX	130819
DQ185260	Peltigera membranacea	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185261	Peltigera canina	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185262	Peltigera rufescens	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185263	Peltigera didactyla	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185264	Peltigera didactyla	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185265	Geosiphon pyriforme	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185266	Anthoceros sp.	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185267	Encephalartos natalensis	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185268	Blasia pusilla	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185269	Blasia pusilla	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185270	Anthoceros sp.	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185271	Peltigera rufescens	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185272	Peltigera rufescens	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185273	Collema crispum	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185274	Peltigera rufescens	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185275	Peltigera rufescens	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185276	Peltigera rufescens	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185277	Peltigera didactyla	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185278	Peltigera rufescens	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185279	Peltigera canina	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185280	free-living	Nostoc commune		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185281	Peltigera neopolydactyla	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185282	Peltigera canina	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185283	Peltigera membranacea	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185284	Peltigera membranacea	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185285	Peltigera horizontalis	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185286	Sticta beauvoisii	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185287	Peltigera canina	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185289	Leptogium gelatinosum	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185290	Lobaria amplissima	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185291	Lobaria hallii	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185292	Massalongia carnosa	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185293	Nephroma bellum	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185294	Nephroma helveticum	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185295	Pannaria conoplea	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185296	Peltigera canina	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185303	Peltigera degenii	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185304	Peltigera didactyla	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185305	Peltigera lepidophora	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185306	Peltigera membranacea	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185307	Peltigera membranacea	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185308	Peltigera rufescens	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185309	Cycas circinalis	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185310	Peltigera rufescens	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185311	Peltigera aphthosa	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185312	Peltigera aphthosa	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185313	free-living	Nostoc muscorum		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185314	Blasia pusilla	Nostoc punctiforme		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185315	Gunnera manicata	Nostoc punctiforme		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185316	Geosiphon pyriforme	Nostoc punctiforme		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185317	free-living	Nostoc punctiforme		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ185318	Sticta fuliginosa	Nostoc sp.		O'Brien	Eur. J. Phycol. 40 (4), 363-378 (2005)		rbcX	130819
DQ266000	Lobaria amplissima	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266001	Lobaria amplissima	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266002	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266003	Pseudocyphellaria clathrata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266004	Pseudocyphellaria mallota	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266005	Pseudocyphellaria coriifolia	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266006	Pseudocyphellaria intricata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266007	Pseudocyphellaria hirsuta	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266008	Pseudocyphellaria scabrosa	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266009	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266010	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266011	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266012	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266013	Pseudocyphellaria intricata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266014	Pseudocyphellaria hirsuta	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266015	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266016	Pseudocyphellaria coriifolia	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266017	Pseudocyphellaria pilosella	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266018	Pseudocyphellaria mallota	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266019	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266020	Pseudocyphellaria intricata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266021	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266022	Pseudocyphellaria coriifolia	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266023	Sticta hypochra	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266024	Sticta hypochra	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266025	Sticta hypochra	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266026	Sticta hypochra	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266027	Sticta gaudichaldia	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266028	Sticta hypochra	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266029	Stereocaulon exutum	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266030	Stereocaulon fronduliferum	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
