Accession,Group,Representative,Host,Species,Clade,Strain,Location,Author,Reference,Pubmed,Gene,Date
"AB000810","UNIQUE","IN TREE","Free-living","Yamagishiella unicocca","","CCFA646"," ","Nozaki","Phycological Res. 46, 63-70 (1998)"," ","rbcL","131021"
"AB000811","UNIQUE","IN TREE","Free-living","Yamagishiella unicocca","","NIES-578"," ","Nozaki","Phycological Res. 46, 63-70 (1998)"," ","rbcL","131021"
"AB001684","Group 038","REDUNDANT","Free-living","Chlorella vulgaris",""," "," ","Wakasugi","Proc. Natl. Acad. Sci. U.S.A. 94 (11), 5967-5972 (1997)","9159184","rbcL","131021"
"AB003427","Group 315","IN TREE","Free-living","Chlamydomonas pulsatilla","","NIES122"," ","Uchida","Unpublished"," ","rbcL","131021"
"AB007322","Group 315","REDUNDANT","Free-living","Chlamydomonas pulsatilla","","CCAP11-106"," ","Uchida","Published Only in Database (1997)"," ","rbcL","131021"
"AB007323","Group 315","REDUNDANT","Free-living","Chlamydomonas pulsatilla","","CCAP11-44"," ","Uchida","Published Only in Database (1997)"," ","rbcL","131021"
"AB007835","Group 287","REDUNDANT","Free-living","Chlamydomonas tetragama","","NIES446"," ","Uchida","Unpublished"," ","rbcL","131021"
"AB010240","Group 074","REDUNDANT","Free-living","Chlorogonium elongatum","","UTEX 2571"," ","Nozaki","J. Phycol. 34, 1024-1037 (1998)"," ","rbcL","131021"
"AB010241","Group 074","IN TREE","Free-living","Chlorogonium elongatum","","UTEX 2572"," ","Nozaki","J. Phycol. 34, 1024-1037 (1998)"," ","rbcL","131021"
"AB010242","UNIQUE","IN TREE","Free-living","Rusalka fusiformis","","NIES-123"," ","Nozaki","J. Phycol. 34, 1024-1037 (1998)"," ","rbcL","131021"
"AB010243","UNIQUE","IN TREE","Free-living","Gungnir neglectum","","NIES-439"," ","Nozaki","J. Phycol. 34, 1024-1037 (1998)"," ","rbcL","131021"
"AB010244","UNIQUE","IN TREE","Free-living","Gungnir kasakii","","CCAP 12/8"," ","Nozaki","J. Phycol. 34, 1024-1037 (1998)"," ","rbcL","131021"
"AB014041","Group 103","REDUNDANT","Free-living","Vitreochlamys ordinata","","Nozaki S-4"," ","Nozaki","J. Phycol. 35, 104-112 (1999)"," ","rbcL","131021"
"AB022224","UNIQUE","IN TREE","Free-living","Chlamydomonas mutabilis","","UTEX 578"," ","Morita","Planta 208, 365-372 (1999)"," ","rbcL","131021"
"AB022226","UNIQUE","IN TREE","Free-living","Chloromonas insignis","","NIES-447"," ","Morita","Planta 208, 365-372 (1999)"," ","rbcL","131021"
"AB022530","UNIQUE","IN TREE","Free-living","Chloromonas palmelloides","","SAG 32.86"," ","Morita","Planta 208, 365-372 (1999)"," ","rbcL","131021"
"AB044159","UNIQUE","IN TREE","Free-living","Volvulina steinii","","NIES-545"," ","Nozaki","Mol. Phylogenet. Evol. 17 (2), 256-268 (2000)","11083939","rbcL","131021"
"AB044160","UNIQUE","IN TREE","Free-living","Volvulina steinii","","UTEX 1525"," ","Nozaki","Mol. Phylogenet. Evol. 17 (2), 256-268 (2000)","11083939","rbcL","131021"
"AB044161","UNIQUE","IN TREE","Free-living","Volvulina steinii","","UTEX 1531"," ","Nozaki","Mol. Phylogenet. Evol. 17 (2), 256-268 (2000)","11083939","rbcL","131021"
"AB044164","UNIQUE","IN TREE","Free-living","Pandorina morum","","UTEX 2326"," ","Nozaki","Mol. Phylogenet. Evol. 17 (2), 256-268 (2000)","11083939","rbcL","131021"
"AB044165","UNIQUE","IN TREE","Free-living","Pandorina morum","","UTEX 1727"," ","Nozaki","Mol. Phylogenet. Evol. 17 (2), 256-268 (2000)","11083939","rbcL","131021"
"AB044166","UNIQUE","IN TREE","Free-living","Pandorina morum","","UTEX 880"," ","Nozaki","Mol. Phylogenet. Evol. 17 (2), 256-268 (2000)","11083939","rbcL","131021"
"AB044167","UNIQUE","IN TREE","Free-living","Pandorina morum","","UTEX 854"," ","Nozaki","Mol. Phylogenet. Evol. 17 (2), 256-268 (2000)","11083939","rbcL","131021"
"AB044168","UNIQUE","IN TREE","Free-living","Yamagishiella unicocca","","Nozaki E-5"," ","Nozaki","Mol. Phylogenet. Evol. 17 (2), 256-268 (2000)","11083939","rbcL","131021"
"AB044171","UNIQUE","IN TREE","Free-living","Lobomonas monstruosa","","NIES-474"," ","Nozaki","Mol. Phylogenet. Evol. 17 (2), 256-268 (2000)","11083939","rbcL","131021"
"AB050484","UNIQUE","IN TREE","Free-living","Vitreochlamys fluviatilis","","Spha-1/1997-12-5"," ","Nakazawa","Eur. J. Phycol. 36, 113-128 (2001)"," ","rbcL","131021"
"AB050485","Group 103","IN TREE","Free-living","Vitreochlamys gloeocystiformis","","970805 U-4"," ","Nakazawa","Eur. J. Phycol. 36, 113-128 (2001)"," ","rbcL","131021"
"AB050492","Group 078","REDUNDANT","Free-living","Vitreochlamys aulata","","SAG69.72"," ","Nakazawa","Eur. J. Phycol. 36, 113-128 (2001)"," ","rbcL","131021"
"AB050493","Group 078","IN TREE","Free-living","Vitreochlamys aulata","","SAG80.81"," ","Nakazawa","Eur. J. Phycol. 36, 113-128 (2001)"," ","rbcL","131021"
"AB050494","UNIQUE","IN TREE","Free-living","Vitreochlamys nekrassovii","","SAG11-10"," ","Nakazawa","Eur. J. Phycol. 36, 113-128 (2001)"," ","rbcL","131021"
"AB076096","UNIQUE","IN TREE","Free-living","Volvox aureus","","NIES-1156"," ","Nozaki","Mol. Phylogenet. Evol. 23 (3), 326-338 (2002)","12099791","rbcL","131021"
"AB076098","UNIQUE","IN TREE","Free-living","Volvox tertius","","UTEX 132"," ","Nozaki","Mol. Phylogenet. Evol. 23 (3), 326-338 (2002)","12099791","rbcL","131021"
"AB076099","UNIQUE","IN TREE","Free-living","Volvox carteri ","","UTEX 1885 (HK10)"," ","Nozaki","Mol. Phylogenet. Evol. 23 (3), 326-338 (2002)","12099791","rbcL","131021"
"AB076100","UNIQUE","IN TREE","Free-living","Volvox carteri ","","UTEX 1875"," ","Nozaki","Mol. Phylogenet. Evol. 23 (3), 326-338 (2002)","12099791","rbcL","131021"
"AB076101","UNIQUE","IN TREE","Free-living","Volvox africanus","","UTEX 1891"," ","Nozaki","Mol. Phylogenet. Evol. 23 (3), 326-338 (2002)","12099791","rbcL","131021"
"AB084332","UNIQUE","IN TREE","Free-living","Scenedesmus quadricauda","","NIES-96"," ","Nozaki","J. Mol. Evol. 55 (4), 414-430 (2002)","12355262","rbcL","131021"
