S	0	664	*	*	*	*	*	JQ004580	*
H	0	664	100.0	.	0	0	=	JQ004532	JQ004580
H	0	664	100.0	.	0	0	=	JQ004581	JQ004580
H	0	664	100.0	.	0	0	=	JQ004586	JQ004580
H	0	664	100.0	.	0	0	=	JQ004587	JQ004580
H	0	664	100.0	.	0	0	=	JQ004534	JQ004580
H	0	664	100.0	.	0	0	=	JQ004533	JQ004580
H	0	664	100.0	.	0	0	=	JQ004545	JQ004580
H	0	664	100.0	.	0	0	=	JQ004584	JQ004580
H	0	664	100.0	.	0	0	=	JQ004568	JQ004580
H	0	664	100.0	.	0	0	=	JQ004583	JQ004580
H	0	664	100.0	.	0	0	=	JQ004584	JQ004580
H	0	664	100.0	.	0	0	=	JQ004530	JQ004580
H	0	664	100.0	.	0	0	=	JQ004531	JQ004580
H	0	664	100.0	.	0	0	=	JQ004585	JQ004580
H	0	664	100.0	.	0	0	=	JQ004583	JQ004580
H	0	664	100.0	.	0	0	=	JQ004585	JQ004580
H	0	664	100.0	.	0	0	=	JQ004601	JQ004580
H	0	664	100.0	.	0	0	=	JQ004602	JQ004580
H	0	664	100.0	.	0	0	=	JQ004600	JQ004580
H	0	664	100.0	.	0	0	=	JQ004538	JQ004580
H	0	664	100.0	.	0	0	=	JQ004537	JQ004580
H	0	664	100.0	.	0	0	=	JQ004604	JQ004580
H	0	664	100.0	.	0	0	=	JQ004615	JQ004580
H	0	664	100.0	.	0	0	=	JQ004580	JQ004580
H	0	664	100.0	.	0	0	=	JQ004607	JQ004580
H	0	664	100.0	.	0	0	=	JQ004605	JQ004580
H	0	664	100.0	.	0	0	=	JQ004606	JQ004580
H	0	664	100.0	.	0	0	=	JQ004593	JQ004580
H	0	664	100.0	.	0	0	=	JQ004590	JQ004580
H	0	664	100.0	.	0	0	=	JQ004591	JQ004580
H	0	664	100.0	.	0	0	=	JQ004589	JQ004580
H	0	664	100.0	.	0	0	=	JQ004588	JQ004580
H	0	664	100.0	.	0	0	=	JQ004535	JQ004580
H	0	664	100.0	.	0	0	=	JQ004544	JQ004580
H	0	664	100.0	.	0	0	=	JQ004542	JQ004580
H	0	664	100.0	.	0	0	=	JQ004540	JQ004580
H	0	664	100.0	.	0	0	=	JQ004592	JQ004580
H	0	664	100.0	.	0	0	=	JQ004543	JQ004580
H	0	664	100.0	.	0	0	=	JQ004530	JQ004580
H	0	664	100.0	.	0	0	=	JQ004531	JQ004580
H	0	664	100.0	.	0	0	=	JQ004540	JQ004580
H	0	664	100.0	.	0	0	=	JQ004542	JQ004580
H	0	664	100.0	.	0	0	=	JQ004532	JQ004580
H	0	664	100.0	.	0	0	=	JQ004563	JQ004580
H	0	664	100.0	.	0	0	=	JQ004546	JQ004580
H	0	664	100.0	.	0	0	=	JQ004544	JQ004580
H	0	664	100.0	.	0	0	=	JQ004564	JQ004580
H	0	664	100.0	.	0	0	=	JQ004543	JQ004580
H	0	664	100.0	.	0	0	=	JQ004547	JQ004580
H	0	664	100.0	.	0	0	=	JQ004534	JQ004580
H	0	664	100.0	.	0	0	=	JQ004559	JQ004580
H	0	664	100.0	.	0	0	=	JQ004560	JQ004580
H	0	664	100.0	.	0	0	=	JQ004533	JQ004580
H	0	664	100.0	.	0	0	=	JQ004557	JQ004580
H	0	664	100.0	.	0	0	=	JQ004558	JQ004580
H	0	664	100.0	.	0	0	=	JQ004556	JQ004580
H	0	664	100.0	.	0	0	=	JQ004548	JQ004580
H	0	664	100.0	.	0	0	=	JQ004562	JQ004580
H	0	664	100.0	.	0	0	=	JQ004535	JQ004580
H	0	664	100.0	.	0	0	=	JQ004537	JQ004580
H	0	664	100.0	.	0	0	=	JQ004538	JQ004580
H	0	664	100.0	.	0	0	=	JQ004545	JQ004580
H	0	664	100.0	.	0	0	=	JQ004601	JQ004580
H	0	664	100.0	.	0	0	=	JQ004564	JQ004580
H	0	664	100.0	.	0	0	=	JQ004593	JQ004580
H	0	664	100.0	.	0	0	=	JQ004600	JQ004580
H	0	664	100.0	.	0	0	=	JQ004604	JQ004580
H	0	664	100.0	.	0	0	=	JQ004581	JQ004580
