Accession	Group	Representative	Host	Species	Clade	Strain	Location	Author	Reference	Pubmed	Gene	Date
FJ792798	UNIQUE	IN TREE	Acarospora epithallina	Trebouxia sp.	T. impressa			Gasulla	Unpublished  		ITS	130601
JX036209	Group 99	IN TREE	Acarospora sp.	Trebouxia sp.	T. sp. 4			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
AJ293780	UNIQUE	IN TREE	Amandinea punctata	Trebouxia sp.	T. sp. 2			Helms	Lichenologist (Lond.) 33 (1)  73-86 (2001) 		ITS	130601
AF389913	Group 40	REDUNDANT	Anaptychia ciliaris	Trebouxia arboricola	T. decolorans			Dahlkild	Bryologist 104 (4)  527-536 (2001) 		ITS	130601
AF389914	UNIQUE	IN TREE	Anaptychia ciliaris	Trebouxia arboricola	T. decolorans			Dahlkild	Bryologist 104 (4)  527-536 (2001) 		ITS	130601
AF389915	UNIQUE	IN TREE	Anaptychia ciliaris	Trebouxia arboricola	T. decolorans			Dahlkild	Bryologist 104 (4)  527-536 (2001) 		ITS	130601
AF389916	UNIQUE	IN TREE	Anaptychia ciliaris	Trebouxia arboricola	T. decolorans			Dahlkild	Bryologist 104 (4)  527-536 (2001) 		ITS	130601
AF389917	UNIQUE	IN TREE	Anaptychia ciliaris	Trebouxia arboricola	T. decolorans			Dahlkild	Bryologist 104 (4)  527-536 (2001) 		ITS	130601
AJ293770	UNIQUE	IN TREE	Anaptychia ciliaris	Trebouxia sp.	T. decolorans			Helms	Lichenologist (Lond.) 33 (1)  73-86 (2001) 		ITS	130601
AJ293781	UNIQUE	IN TREE	Anaptychia runcinata	Trebouxia sp.	T. sp. 2			Helms	Lichenologist (Lond.) 33 (1)  73-86 (2001) 		ITS	130601
EU416214	UNIQUE	IN TREE	Anaptychia setifera	Trebouxia sp.	T. decolorans			Piercey-Normore	Unpublished  		ITS	130601
HM064495	UNIQUE	IN TREE	Aspicilia desertorum	Trebouxia sp.	T. asymmetrica			Gasulla	Unpublished  		ITS	130601
JX036171	Group 20	REDUNDANT	Austrolecia sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036180	UNIQUE	IN TREE	Austrolecia sp.	Trebouxia sp.	T. sp. 4			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036194	Group 22	REDUNDANT	Austrolecia sp.	Trebouxia sp.	T. sp. 4			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036203	Group 20	REDUNDANT	Austrolecia sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036204	Group 20	REDUNDANT	Austrolecia sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
